gastos,descrip
"A001","Maíz en grano"
"A002","Harina de maíz"
"A003","Masa de maíz"
"A004","Tortilla de maíz"
"A005","Tostadas"
"A006","Otros productos de maíz"
"A007","Harina de trigo"
"A008","Tortilla de harina"
"A009","Pasta para sopa"
"A010","Galletas dulces"
"A011","Galletas saladas"
"A012","Pan blanco: bolillo, telera, baguete, etcétera"
"A013","Pan dulce en piezas"
"A014","Pan dulce empaquetado"
"A015","Pan para sándwich, hamburguesa, hot-dog y tostado"
"A016","Pasteles y pastelillos en piezas o a granel"
"A017","Pasteles y pastelillos empaquetados"
"A018","Otros productos de trigo"
"A019","Arroz en grano"
"A020","Otros productos de arroz"
"A021","Cereal de maíz, de trigo, de arroz, de avena, de granola, etcétera"
"A022","Botanas: frituras, palomitas, cheetos, doritos etcétera (excepto papas)"
"A023","Sopas instantáneas"
"A024","Otros cereales"
"A025","Bistec de res (de cualquier parte que se saque)"
"A026","Arrachera, filete"
"A027","Milanesa de res"
"A028","Chamorro de res"
"A029","Chuleta de costilla de res"
"A030","Agujas, aldilla, chambarete, diezmillo, espinazo, fajilla de res para asar, retazo, tampiqueña"
"A031","Cocido de res"
"A032","Cortes especiales de res"
"A033","Hamburguesas de res para asar"
"A034","Molida de res"
"A035","Pulpa de res en trozo"
"A036","Carne de otras partes de la res"
"A037","Vísceras de res"
"A038","Bistec de puerco (de cualquier parte que se saque)"
"A039","Pierna de puerco en trozo"
"A040","Pulpa de puerco en trozo"
"A041","Molida de puerco"
"A042","Costilla y chuleta de puerco"
"A043","Espaldilla de puerco"
"A044","Codillo de puerco"
"A045","Carne de otras partes del puerco"
"A046","Vísceras de puerco"
"A047","Carne enchilada"
"A048","Chicharrón de puerco"
"A049","Chorizo con cualquier condimento y color y longaniza"
"A050","Chuleta ahumada de puerco"
"A051","Machaca y carne seca"
"A052","Jamón de puerco"
"A053","Mortadela, queso de puerco y salami, bolonia de carnes surtidas"
"A054","Lardo procesado (tocino)"
"A055","Salchichas y salchichón"
"A056","Otras carnes procesadas"
"A057","Pierna, muslo o pechuga de pollo con hueso"
"A058","Pierna, muslo o pechuga de pollo sin hueso"
"A059","Pollo entero o en piezas excepto, pierna, muslo y pechuga"
"A060","Vísceras y otras partes del pollo"
"A061","Otras aves"
"A062","Chorizo de pollo, jamón y nugget, salchicha, mortadela, etcétera"
"A063","Borrego: carnero y borrego"
"A064","Chivo y cabrito"
"A065","Otras carnes: caballo, conejo, iguana, jabalí, rana, tortuga, venado"
"A066","Pescado entero limpio y sin limpiar"
"A067","Filete de pescado"
"A068","Atún enlatado"
"A069","Salmón y bacalao procesado"
"A070","Pescado ahumado, seco, nugget, sardina, etcétera"
"A071","Anguilas, angulas, hueva de pescado, mantarraya, pejelagarto, etcétera"
"A072","Camarón fresco"
"A073","Mariscos frescos"
"A074","Mariscos procesados"
"A075","Leche pasteurizada de vaca"
"A076","Leche condensada"
"A077","Leche evaporada"
"A078","Leche en polvo entera o descremada"
"A079","Leche modificada o maternizada"
"A080","Leche no pasteurizada (leche bronca)"
"A081","Otras leches: de burra, de cabra, de soya"
"A082","Queso amarillo en rebanadas o para untar"
"A083","Queso añejo y cotija"
"A084","Queso chihuahua"
"A085","Queso fresco"
"A086","Queso manchego"
"A087","Queso oaxaca o asadero"
"A088","Otros quesos"
"A089","Crema"
"A090","Mantequilla"
"A091","Bebidas fermentadas de leche"
"A092","Otros derivados de la leche"
"A093","Huevo de gallina blanco y rojo"
"A094","Otros huevos: codorniz, pata, pava etcétera"
"A095","Aceite vegetal: canola, cártamo, girasol, maíz, etcétera"
"A096","Aceite de coco, oliva, soya"
"A097","Margarina"
"A098","Manteca de puerco"
"A099","Manteca vegetal"
"A100","Otros aceites: de bacalao, de tiburón, de tortuga, enjundia"
"A101","Betabel y camote"
"A102","Papa"
"A103","Rábano"
"A104","Otros tubérculos"
"A105","Harina para puré de papa"
"A106","Papas fritas en bolsa o a granel"
"A107","Acelgas, espinacas y verdolagas"
"A108","Aguacate"
"A109","Ajo"
"A110","Brócoli"
"A111","Calabacita y calabaza"
"A112","Cebolla"
"A113","Chayote"
"A114","Chícharo"
"A115","Chile jalapeño"
"A116","Chile poblano"
"A117","Chile serrano"
"A118","Otros chiles"
"A119","Cilantro"
"A120","Col y repollo"
"A121","Ejote"
"A122","Elote"
"A123","Epazote"
"A124","Jitomate"
"A125","Lechuga"
"A126","Nopal"
"A127","Pepino"
"A128","Perejil y yerbabuena"
"A129","Tomate verde"
"A130","Zanahoria"
"A131","Otras verduras"
"A132","Germinados de maíz, de soya, de trigo"
"A133","Chiles envasados"
"A134","Chile secos o en polvo"
"A135","Verduras y legumbres envasadas"
"A136","Verduras y legumbres congeladas"
"A137","Frijol en grano"
"A138","Garbanzo en grano"
"A139","Haba amarilla o verde en grano"
"A140","Lenteja en grano"
"A141","Otras leguminosas en grano"
"A142","Frijol procesado"
"A143","Otras leguminosas procesadas"
"A144","Semillas a granel"
"A145","Semillas envasadas"
"A146","Semillas procesadas"
"A147","Anona, chirimoya, guanábana"
"A148","Cereza, frambuesa, fresa, zarzamora"
"A149","Chabacano, durazno, melocotón"
"A150","Chicozapote y mamey"
"A151","Ciruela y jobo"
"A152","Guayaba"
"A153","Lima"
"A154","Limón"
"A155","Mandarina, nectarina, tangerina"
"A156","Toronja"
"A157","Mango"
"A158","Manzana y perón"
"A159","Melón"
"A160","Naranja"
"A161","Papaya"
"A162","Pera"
"A163","Piña"
"A164","Pitahaya y tuna"
"A165","Plátano macho y de castilla"
"A166","Plátano verde y tabasco"
"A167","Otros plátanos (chiapas, dominico, guineo, manzano, dorado, portalimón y roatan)"
"A168","Sandía"
"A169","Uva"
"A170","Otras frutas: garambullo, granada, higo, jícama, kiwi, etcétera"
"A171","Frutas en almíbar y conserva"
"A172","Frutas cristalizadas, enchiladas y secas"
"A173","Azúcar blanca y morena"
"A174","Miel de abeja"
"A175","Otras azúcares y mieles"
"A176","Café tostado en grano molido"
"A177","Café tostado soluble"
"A178","Flor y hojas para té"
"A179","Té soluble (cualquier sabor)"
"A180","Chocolate en tableta"
"A181","Chocolate en polvo"
"A182","Otros chocolates"
"A183","Canela"
"A184","Clavo"
"A185","Yerbas de olor"
"A186","Concentrados de pollo y tomate"
"A187","Mayonesa"
"A188","Mole en pasta o en polvo"
"A189","Mostaza"
"A190","Pimienta"
"A191","Sal"
"A192","Salsas dulces y picantes"
"A193","Vinagre"
"A194","Otros aderezos, especies y salsas"
"A195","Cereal de arroz, avena, plátano, manzana, mixto para bebé"
"A196","Papillas para bebé"
"A197","Jugos de frutas y verduras de cualquier combinación para bebé"
"A198","Pizzas preparadas"
"A199","Carnitas"
