folioviv,foliohog,clave,tipo_gasto,gasto_nm,gas_nm_tri
0100008202,1,G104,G7,1500,4354.83
0100008203,1,G104,G7,5000,14516.12
0100010201,1,G104,G7,5000,14516.12
0100010203,1,G104,G7,5000,14516.12
0100010204,1,G104,G7,8000,23225.8
0100010205,1,G104,G7,3000,8709.67
0100014301,1,G103,G7,6000,17419.35
0100014302,1,G104,G7,4500,13064.51
0100014303,1,G105,G7,3000,8709.67
0100014304,1,G104,G7,1000,2903.22
0100014305,1,G104,G7,3000,8709.67
0100018301,1,G104,G7,2500,7258.06
0100018302,1,G104,G7,2500,7258.06
0100018303,1,G104,G7,5000,14516.12
0100018304,1,G104,G7,3000,8709.67
0100018305,1,G104,G7,1000,2903.22
0100022303,1,G102,G7,3000,8709.67
0100022305,1,G104,G7,4500,13064.51
0100025702,1,G104,G7,3000,9000
0100025703,1,G102,G7,2500,7500
0100025705,1,G104,G7,1000,3000
0100035701,1,G104,G7,1500,4500
0100035702,1,G104,G7,2000,6000
0100040701,1,G104,G7,5000,15000
0100040702,1,G104,G7,2500,7500
0100040704,1,G104,G7,2500,7500
0100040705,1,G102,G7,2000,6000
0100052603,1,G104,G7,2000,6000
0100052604,1,G104,G7,2000,6000
0100059601,1,G104,G7,2500,7500
0100059602,1,G104,G7,1500,4500
0100059603,1,G102,G7,1200,3600
0100059605,1,G104,G7,2000,6000
0100077601,1,G102,G7,1500,4500
0100077602,1,G105,G7,650,1950
0100077603,1,G104,G7,3000,9000
0100077604,1,G102,G7,800,2400
0100077605,1,G105,G7,1500,4500
0100090501,1,G104,G7,1500,4354.83
0100090503,1,G104,G7,1000,2903.22
0100097504,1,G104,G7,2500,7258.06
0100097505,1,G104,G7,3000,8709.67
0100103504,1,G104,G7,2000,5806.45
0100105901,1,G104,G7,2000,5806.45
0100105902,1,G104,G7,5000,14516.12
0100105904,1,G104,G7,2000,5806.45
0100105905,1,G103,G7,1077,3126.77
0100109901,1,G104,G7,2000,5806.45
0100109902,1,G102,G7,3500,10161.29
0100109904,1,G102,G7,1800,5225.8
0100120905,1,G104,G7,1500,4354.83
0100126401,1,G104,G7,2500,7258.06
0100126403,1,G102,G7,2500,7258.06
0100126404,1,G104,G7,4000,11612.9
0100133403,1,G104,G7,2000,5806.45
0100133404,1,G104,G7,3000,8709.67
0100133405,1,G105,G7,2000,5806.45
0100143401,1,G104,G7,4000,11612.9
0100143402,1,G102,G7,1500,4354.83
0100143403,1,G103,G7,2820,8187.09
0100143405,1,G104,G7,2000,5806.45
0100179001,1,G104,G7,2000,5806.45
0100179002,1,G104,G7,1200,3483.87
0100179003,1,G104,G7,1000,2903.22
0100179004,1,G102,G7,1000,2903.22
0100179005,1,G102,G7,1000,2903.22
0100187001,1,G104,G7,1500,4354.83
0100187002,1,G104,G7,3000,8709.67
0100187005,1,G104,G7,2000,5806.45
0100198001,1,G102,G7,7000,20322.58
0100198003,1,G102,G7,2500,7258.06
0100198004,1,G104,G7,2000,5806.45
0100198005,1,G102,G7,4000,11612.9
0100204802,1,G104,G7,5000,15000
0100204803,1,G104,G7,6000,18000
0100205801,1,G104,G7,2500,7500
0100205802,1,G104,G7,700,2100
0100208801,1,G104,G7,2000,6000
0100208803,1,G104,G7,2000,6000
0100210202,1,G104,G7,1200,3483.87
0100210203,1,G104,G7,2000,5806.45
0100213202,1,G104,G7,3500,10161.29
0100213203,1,G104,G7,2500,7258.06
0100213204,1,G104,G7,2000,5806.45
0100213205,1,G104,G7,3500,10161.29
0100243201,1,G104,G7,2000,5806.45
0100243203,1,G102,G7,2000,5806.45
0100249301,1,G104,G7,1500,4354.83
0100249302,1,G104,G7,1500,4354.83
0100249304,1,G104,G7,1000,2903.22
0100249305,1,G104,G7,1500,4354.83
0100257301,1,G104,G7,1500,4354.83
0100257302,1,G104,G7,6000,17419.35
0100257303,1,G104,G7,2000,5806.45
0100257304,1,G102,G7,1500,4354.83
0100257305,1,G104,G7,2500,7258.06
0100259302,1,G102,G7,700,2032.25
0100259304,1,G104,G7,4500,13064.51
0100259305,1,G103,G7,5000,14516.12
0100270701,1,G102,G7,3000,9000
0100273701,1,G104,G7,2000,6000
0100273702,1,G104,G7,800,2400
0100273703,1,G104,G7,2500,7500
0100273704,1,G104,G7,2000,6000
0100273705,1,G102,G7,1500,4500
0100274703,1,G102,G7,3000,9000
0100274705,1,G104,G7,1500,4500
0100306601,1,G104,G7,1500,4500
0100306603,1,G104,G7,3000,9000
0100306604,1,G104,G7,2000,6000
0100307602,1,G102,G7,3000,9000
0100307603,1,G104,G7,2000,6000
0100307605,1,G104,G7,4000,12000
0100311601,1,G104,G7,6000,18000
0100311603,1,G104,G7,3000,9000
0100311605,1,G104,G7,7000,21000
0100321501,1,G104,G7,1200,3483.87
0100321502,1,G104,G7,600,1741.93
0100321503,1,G102,G7,2000,5806.45
0100321505,1,G104,G7,1500,4354.83
0100323501,1,G104,G7,7000,20322.58
0100323502,1,G102,G7,2000,5806.45
