_id,id,genero,edad,ocupacion,cp,len_cp
ObjectId("5e48218d6431aa02622c083b"),161,M,45,16,98107-2117,10
ObjectId("5e48218d6431aa02622c0883"),233,F,45,20,37919-4204,10
ObjectId("5e48218d6431aa02622c08bf"),293,M,56,1,55337-4056,10
ObjectId("5e48218d6431aa02622c0964"),458,M,50,16,55405-2546,10
ObjectId("5e48218d6431aa02622c0994"),506,M,25,16,55103-1006,10
ObjectId("5e48218d6431aa02622c09d1"),567,M,35,20,52570-9634,10
ObjectId("5e48218d6431aa02622c0afe"),868,M,50,17,01702-7224,10
ObjectId("5e48218d6431aa02622c0b2b"),913,M,25,0,20744-6223,10
ObjectId("5e48218d6431aa02622c0b45"),939,F,25,20,20110-5616,10
ObjectId("5e48218d6431aa02622c0b4c"),946,M,35,7,48103-8929,10
ObjectId("5e48218d6431aa02622c0bb0"),1046,M,56,18,53404-1230,10
ObjectId("5e48218d6431aa02622c0bd3"),1081,M,18,4,68144-2410,10
ObjectId("5e48218d6431aa02622c0c0d"),1139,M,25,1,93420-2852,10
ObjectId("5e48218d6431aa02622c0c4b"),1201,M,18,4,84112-2004,10
ObjectId("5e48218d6431aa02622c0d51"),1463,M,50,16,92612-3417,10
ObjectId("5e48218d6431aa02622c0d9f"),1541,M,56,17,23464-3016,10
ObjectId("5e48218d6431aa02622c0dc3"),1577,M,56,0,72227-5733,10
ObjectId("5e48218d6431aa02622c0dd5"),1595,M,35,1,92683-1892,10
ObjectId("5e48218d6431aa02622c0e23"),1673,M,1,10,98043-3621,10
ObjectId("5e48218d6431aa02622c0e5a"),1728,M,18,4,11710-1641,10
ObjectId("5e48218d6431aa02622c0e78"),1758,F,25,0,33067-1400,10
ObjectId("5e48218d6431aa02622c0f6c"),2002,F,56,13,02136-1522,10
ObjectId("5e48218d6431aa02622c0fc1"),2087,M,25,0,37923-3112,10
ObjectId("5e48218d6431aa02622c101e"),2180,M,25,12,27713-9225,10
ObjectId("5e48218d6431aa02622c103c"),2210,M,45,17,88005-4313,10
ObjectId("5e48218d6431aa02622c1046"),2220,F,50,3,95451-9554,10
ObjectId("5e48218d6431aa02622c10a3"),2313,F,50,6,48103-4711,10
ObjectId("5e48218d6431aa02622c11b3"),2585,M,45,15,64081-8102,10
ObjectId("5e48218d6431aa02622c11ba"),2592,M,50,7,80004-4448,10
ObjectId("5e48218d6431aa02622c1254"),2746,M,50,14,50265-2850,10
ObjectId("5e48218d6431aa02622c13f4"),3162,M,25,1,08854-3115,10
ObjectId("5e48218d6431aa02622c1471"),3287,M,56,13,27514-3540,10
ObjectId("5e48218d6431aa02622c1486"),3308,F,18,20,15701-1348,10
ObjectId("5e48218d6431aa02622c149a"),3328,M,56,19,91790-1161,10
ObjectId("5e48218d6431aa02622c149f"),3333,M,18,16,29404-2205,10
ObjectId("5e48218d6431aa02622c1560"),3526,M,35,2,62263-3004,10
ObjectId("5e48218e6431aa02622c1634"),3738,M,45,7,01904-1355,10
ObjectId("5e48218e6431aa02622c16a2"),3848,M,25,15,70809-2612,10
ObjectId("5e48218e6431aa02622c16fc"),3938,M,25,2,92711-0571,10
ObjectId("5e48218e6431aa02622c170e"),3956,M,25,0,94930-2010,10
ObjectId("5e48218e6431aa02622c1746"),4012,M,18,4,49503-1313,10
ObjectId("5e48218e6431aa02622c1748"),4014,M,25,0,48316-5601,10
ObjectId("5e48218e6431aa02622c1760"),4038,M,50,6,11510-2001,10
ObjectId("5e48218e6431aa02622c17b6"),4124,M,25,18,62330-1408,10
ObjectId("5e48218e6431aa02622c181d"),4227,M,25,19,11414-2520,10
ObjectId("5e48218e6431aa02622c1904"),4458,F,25,4,15701-2017,10
ObjectId("5e48218e6431aa02622c1926"),4492,M,56,13,45322-3132,10
ObjectId("5e48218e6431aa02622c1a0d"),4723,M,35,7,90014-1718,10
ObjectId("5e48218e6431aa02622c1a0f"),4725,M,35,5,96707-1321,10
ObjectId("5e48218e6431aa02622c1a24"),4746,M,50,1,19087-3622,10
ObjectId("5e48218e6431aa02622c1a62"),4808,M,35,0,96707-1321,10
ObjectId("5e48218e6431aa02622c1aff"),4965,M,1,10,63123-1507,10
ObjectId("5e48218e6431aa02622c1b5e"),5060,M,45,17,84109-2001,10
ObjectId("5e48218e6431aa02622c1bb3"),5145,M,35,7,77565-2332,10
ObjectId("5e48218e6431aa02622c1c59"),5311,M,50,0,62025-8000,10
ObjectId("5e48218e6431aa02622c1c73"),5337,F,35,3,02725-1010,10
ObjectId("5e48218e6431aa02622c1cba"),5408,M,25,20,11230-1710,10
ObjectId("5e48218e6431aa02622c1cf8"),5470,M,56,7,20003-2712,10
ObjectId("5e48218e6431aa02622c1cfb"),5473,M,25,1,20120-6354,10
ObjectId("5e48218e6431aa02622c1d1a"),5504,M,45,7,85287-2702,10
ObjectId("5e48218e6431aa02622c1d7a"),5600,F,45,0,12833-2000,10
ObjectId("5e48218e6431aa02622c1dbb"),5665,M,18,4,10461-1301,10
ObjectId("5e48218e6431aa02622c1dcc"),5682,M,18,0,23455-4959,10
ObjectId("5e48218e6431aa02622c1ebf"),5925,F,25,0,90035-4444,10
ObjectId("5e48218e6431aa02622c1ee9"),5967,M,50,16,73069-5429,10
ObjectId("5e48218e6431aa02622c1efb"),5985,F,18,4,78705-5221,10
ObjectId("5e48218e6431aa02622c1b86"),5100,M,50,6,193122042,9
ObjectId("5e48218d6431aa02622c09b7"),541,F,18,4,5849574,7
ObjectId("5e48218d6431aa02622c0c85"),1259,M,35,7,2020010,7
ObjectId("5e48218e6431aa02622c1954"),4538,M,25,12,0956456,7
ObjectId("5e48218d6431aa02622c0bdd"),1091,M,18,5,345567,6
ObjectId("5e48218d6431aa02622c0d34"),1434,F,1,10,495321,6
ObjectId("5e48218d6431aa02622c0fd4"),2106,F,18,20,495321,6
ObjectId("5e48218d6431aa02622c12bf"),2853,M,1,1,444555,6
ObjectId("5e48218d6431aa02622c14b5"),3355,M,25,1,400060,6
ObjectId("5e48218e6431aa02622c16db"),3905,M,25,17,361069,6
ObjectId("5e48218e6431aa02622c1900"),4454,M,25,20,111225,6
ObjectId("5e48218e6431aa02622c1acb"),4913,F,25,1,970025,6
ObjectId("5e48218e6431aa02622c1b07"),4973,F,56,2,949702,6
ObjectId("5e48218e6431aa02622c1d20"),5510,M,18,4,191004,6
ObjectId("5e48218e6431aa02622c1eaa"),5904,F,45,12,954025,6
ObjectId("5e48218d6431aa02622c079b"),1,F,1,10,48067,5
ObjectId("5e48218d6431aa02622c079c"),2,M,56,16,70072,5
ObjectId("5e48218d6431aa02622c079d"),3,M,25,15,55117,5
ObjectId("5e48218d6431aa02622c079e"),4,M,45,7,02460,5
ObjectId("5e48218d6431aa02622c079f"),5,M,25,20,55455,5
ObjectId("5e48218d6431aa02622c07a0"),6,F,50,9,55117,5
